,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
0,0.26526526526526517,0.44952178533475085,0.27450980392156865,0.055674245892466556,0.05540037243947858,0.04005602240896358,0.054102943594803485,0.2963407401277224,1.0
1,0.8038038038038042,0.16896918172157305,0.7058823529411764,0.011445139630703495,0.01675977653631285,0.006232492997198879,0.009537904949843776,0.22270727300313103,0.7168599185208399
2,0.22322322322322385,0.5100956429330505,0.6666666666666666,0.029757363039829083,0.028398510242085662,0.017717086834733893,0.028613714849531326,0.4728348574502421,1.0
3,0.19119119119119077,0.552603613177471,0.9999999999999999,0.003153771809349407,0.003569211669770329,0.0010854341736694678,0.004275612563723072,0.6707838512572241,0.2533688498903165
4,0.5925925925925934,0.16471838469713118,0.5294117647058824,0.10170914085151839,0.20965238981998757,0.06278011204481793,0.20046045058378556,0.14334285044344214,1.0
5,0.6036036036036041,0.13708820403825728,0.5294117647058824,0.05468233379113892,0.06424581005586592,0.05661764705882353,0.07038316066436441,0.2655204755796472,1.0
6,0.7177177177177185,0.022316684378321128,0.43137254901960786,0.10165827356427082,0.18327126008690253,0.07160364145658263,0.1856602532478211,0.11236396739355321,0.29191476026324037
7,0.4064064064064077,0.7577045696068012,0.7647058823529411,0.01749834681316445,0.019863438857852266,0.010469187675070027,0.017924683440223646,0.12845340064274974,0.7168599185208399
8,0.21121121121121256,0.5217853347502661,0.3333333333333333,0.04155857368126558,0.06409062693978895,0.029656862745098038,0.07202762703502713,0.317464586695356,0.29191476026324037
9,0.30130130130130084,0.5749202975557921,0.9999999999999999,0.002670532580497482,0.012104283054003724,0.005637254901960783,0.008551225127446145,0.020123860360546753,0.7168599185208399
10,0.34834834834834894,0.5281615302869285,0.3137254901960784,0.042270715702731575,0.03910614525139665,0.025560224089635854,0.04160499917776681,0.26954110977779616,0.7168599185208399
11,0.2442442442442445,0.5026567481402768,0.35294117647058826,0.047052240704003254,0.04143389199255121,0.030112044817927168,0.04456503864495971,0.3526847905546131,1.0
12,0.6346346346346365,0.1700318809776835,0.1568627450980392,0.023017447479525915,0.03196772191185599,0.02146358543417367,0.03173820095379049,0.23768637673963122,0.7168599185208399
13,0.3103103103103102,0.6514346439957492,0.49019607843137253,0.03926954575512488,0.04438237119801366,0.026855742296918766,0.04900509784574905,0.171059709521248,0.7168599185208399
14,0.6396396396396398,0.12221041445270986,0.5686274509803921,0.06872170507146853,0.0659528243327126,0.04492296918767507,0.06939648084196678,0.3297609688142233,1.0
15,0.6026026026026035,0.16578108395324165,0.9411764705882353,0.044890380995981485,0.0723153320918684,0.03711484593837535,0.07186318039796086,0.17902511689493938,1.0
